month_start,year,month,year_month,state,fatalities
1993-11-01,1993,11,1993-11,VIC,43
1993-11-01,1993,11,1993-11,WA,15
1993-12-01,1993,12,1993-12,NSW,63
1993-12-01,1993,12,1993-12,NT,2
1993-12-01,1993,12,1993-12,QLD,37
1993-12-01,1993,12,1993-12,SA,20
1993-12-01,1993,12,1993-12,TAS,6
1993-12-01,1993,12,1993-12,VIC,40
1993-12-01,1993,12,1993-12,WA,28
1994-01-01,1994,1,1994-01,ACT,1
1994-01-01,1994,1,1994-01,NSW,56
1994-01-01,1994,1,1994-01,NT,6
1994-01-01,1994,1,1994-01,QLD,37
1994-01-01,1994,1,1994-01,SA,8
1994-01-01,1994,1,1994-01,TAS,3
1994-01-01,1994,1,1994-01,VIC,36
1994-01-01,1994,1,1994-01,WA,11
1994-02-01,1994,2,1994-02,ACT,1
1994-02-01,1994,2,1994-02,NSW,41
1994-02-01,1994,2,1994-02,NT,1
1994-02-01,1994,2,1994-02,QLD,31
1994-02-01,1994,2,1994-02,SA,10
1994-02-01,1994,2,1994-02,TAS,4
1994-02-01,1994,2,1994-02,VIC,31
1994-02-01,1994,2,1994-02,WA,12
1994-03-01,1994,3,1994-03,ACT,1
1994-03-01,1994,3,1994-03,NSW,65
1994-03-01,1994,3,1994-03,NT,3
1994-03-01,1994,3,1994-03,QLD,28
1994-03-01,1994,3,1994-03,SA,23
1994-03-01,1994,3,1994-03,TAS,5
1994-03-01,1994,3,1994-03,VIC,44
1994-03-01,1994,3,1994-03,WA,16
1994-04-01,1994,4,1994-04,ACT,4
1994-04-01,1994,4,1994-04,NSW,53
1994-04-01,1994,4,1994-04,NT,2
1994-04-01,1994,4,1994-04,QLD,22
1994-04-01,1994,4,1994-04,SA,15
1994-04-01,1994,4,1994-04,TAS,5
1994-04-01,1994,4,1994-04,VIC,35
1994-04-01,1994,4,1994-04,WA,16
1994-05-01,1994,5,1994-05,ACT,1
1994-05-01,1994,5,1994-05,NSW,51
1994-05-01,1994,5,1994-05,NT,8
1994-05-01,1994,5,1994-05,QLD,26
1994-05-01,1994,5,1994-05,SA,11
1994-05-01,1994,5,1994-05,TAS,5
1994-05-01,1994,5,1994-05,VIC,27
1994-05-01,1994,5,1994-05,WA,17
1994-06-01,1994,6,1994-06,ACT,3
1994-06-01,1994,6,1994-06,NSW,42
1994-06-01,1994,6,1994-06,NT,1
1994-06-01,1994,6,1994-06,QLD,41
1994-06-01,1994,6,1994-06,SA,14
1994-06-01,1994,6,1994-06,TAS,8
1994-06-01,1994,6,1994-06,VIC,33
1994-06-01,1994,6,1994-06,WA,16
1994-07-01,1994,7,1994-07,NSW,52
1994-07-01,1994,7,1994-07,NT,2
1994-07-01,1994,7,1994-07,QLD,31
1994-07-01,1994,7,1994-07,SA,17
1994-07-01,1994,7,1994-07,TAS,7
1994-07-01,1994,7,1994-07,VIC,29
1994-07-01,1994,7,1994-07,WA,20
1994-08-01,1994,8,1994-08,ACT,1
1994-08-01,1994,8,1994-08,NSW,38
1994-08-01,1994,8,1994-08,NT,7
1994-08-01,1994,8,1994-08,QLD,34
1994-08-01,1994,8,1994-08,SA,9
1994-08-01,1994,8,1994-08,TAS,4
1994-08-01,1994,8,1994-08,VIC,37
1994-08-01,1994,8,1994-08,WA,17
1994-09-01,1994,9,1994-09,ACT,2
1994-09-01,1994,9,1994-09,NSW,43
1994-09-01,1994,9,1994-09,NT,2
1994-09-01,1994,9,1994-09,QLD,32
1994-09-01,1994,9,1994-09,SA,15
1994-09-01,1994,9,1994-09,TAS,5
1994-09-01,1994,9,1994-09,VIC,17
1994-09-01,1994,9,1994-09,WA,25
1994-10-01,1994,10,1994-10,ACT,1
1994-10-01,1994,10,1994-10,NSW,73
1994-10-01,1994,10,1994-10,NT,1
1994-10-01,1994,10,1994-10,QLD,59
1994-10-01,1994,10,1994-10,SA,11
1994-10-01,1994,10,1994-10,TAS,5
1994-10-01,1994,10,1994-10,VIC,27
1994-10-01,1994,10,1994-10,WA,22
1994-11-01,1994,11,1994-11,ACT,1
1994-11-01,1994,11,1994-11,NSW,69
1994-11-01,1994,11,1994-11,NT,4
1994-11-01,1994,11,1994-11,QLD,38
1994-11-01,1994,11,1994-11,SA,16
1994-11-01,1994,11,1994-11,TAS,3
1994-11-01,1994,11,1994-11,VIC,31
1994-11-01,1994,11,1994-11,WA,22
1994-12-01,1994,12,1994-12,ACT,1
1994-12-01,1994,12,1994-12,NSW,63
1994-12-01,1994,12,1994-12,NT,4
1994-12-01,1994,12,1994-12,QLD,39
1994-12-01,1994,12,1994-12,SA,10
1994-12-01,1994,12,1994-12,TAS,5
1994-12-01,1994,12,1994-12,VIC,30
1994-12-01,1994,12,1994-12,WA,17
1995-01-01,1995,1,1995-01,NSW,38
1995-01-01,1995,1,1995-01,NT,2
1995-01-01,1995,1,1995-01,QLD,40
1995-01-01,1995,1,1995-01,SA,18
1995-01-01,1995,1,1995-01,TAS,4
1995-01-01,1995,1,1995-01,VIC,38
1995-01-01,1995,1,1995-01,WA,20
1995-02-01,1995,2,1995-02,NSW,50
1995-02-01,1995,2,1995-02,NT,5
1995-02-01,1995,2,1995-02,QLD,32
1995-02-01,1995,2,1995-02,SA,9
1995-02-01,1995,2,1995-02,TAS,3
1995-02-01,1995,2,1995-02,VIC,35
1995-02-01,1995,2,1995-02,WA,22
1995-03-01,1995,3,1995-03,NSW,61
1995-03-01,1995,3,1995-03,NT,3
1995-03-01,1995,3,1995-03,QLD,38
1995-03-01,1995,3,1995-03,SA,11
1995-03-01,1995,3,1995-03,TAS,8
1995-03-01,1995,3,1995-03,VIC,26
1995-03-01,1995,3,1995-03,WA,14
1995-04-01,1995,4,1995-04,NSW,46
1995-04-01,1995,4,1995-04,NT,9
1995-04-01,1995,4,1995-04,QLD,27
1995-04-01,1995,4,1995-04,SA,14
1995-04-01,1995,4,1995-04,TAS,8
1995-04-01,1995,4,1995-04,VIC,33
1995-04-01,1995,4,1995-04,WA,13
